eunis_level,eunis_code,eunis_name,raster_value
3,U31,Boreal and arctic siliceous inland cliff,90301
3,U32,Temperate high-mountain siliceous inland cliff,90302
3,U33,Temperate lowland to montane siliceous inland cliff,90303
3,U34,Mediterranean siliceous inland cliff,90304
3,U35,Boreal and arctic base-rich inland cliff,90305
3,U36,Temperate high-mountain base-rich inland cliff,90306
3,U37,Temperate lowland to montane base-rich inland cliff,90307
3,U38,Mediterranean base-rich inland cliff,90308
3,U39,Boreal ultramafic inland cliff,90309
3,U3A,Temperate ultramafic inland cliff,90310
3,U3B,Mediterranean ultramafic inland cliff,90311
3,U3C,Macaronesian inland cliff,90312
3,U3D ,Wet inland cliff,90313
3,U3E,Limestone pavement,90314
2,U4,Snow or ice-dominated habitats ,90400
3,U41,Snow pack,90401
3,U42,Ice cap and glacier,90402
3,U43,Rock glacier and unvegetated ice-dominated moraine,90403
2,U5,Miscellaneous inland habitats usually with very sparse or no vegetation ,90500
3,U51,Wind exposed Arctic and Boreal summits,90501
3,U52,Polar desert,90502
3,U53,Glacial moraines with very sparse or no vegetation,90503
2,U6,Recent volcanic features ,90600
3,U61,Subarctic volcanic field ,90601
3,U62,Mediterranean Macaronesian and temperate volcanic field,90602
2,U7,Unvegetated or sparsely vegetated gravel bars ,90700
3,U71,Unvegetated or sparsely vegetated gravel bars in montane and alpine regions,90701
3,U72,Unvegetated or sparsely vegetated gravel bars in the Mediterranean region,90702
1,V,Vegetated man-made habitats,100000
2,V1,Arable land and market gardens,100100
3,V1x,Cropland,100106
3,V11,Intensive unmixed crops,100101
3,V12,Mixed crops of market gardens and horticulture,100102
3,V13,Arable land with unmixed crops grown by low-intensity agricultural methods,100103
3,V14,Inundated or inundatable croplands including rice fields,100104
3,V15,Bare tilled or fallow or recently abandoned arable land,100105
2,V2,Cultivated areas of gardens and parks ,100200
3,V21,Large-scale ornamental garden areas,100201
3,V22,Small-scale ornamental and domestic garden areas,100202
3,V23,Recently abandoned garden areas,100203
2,V3,Artificial grasslands and herb dominated habitats,100300
3,V31,Agriculturally-improved or re-seeded and heavily fertilised grassland including sports fields and grasslawns,100301
3,V32,Mediterranean subnitrophilous annual grasslands,100302
3,V33,Dry mediterranean lands with unpalatable non-vernal herbaceous vegetation ,100303
3,V34,Trampled xeric grasslands with annuals,100304
3,V35,Trampled mesophilous grasslands with annuals,100305
3,V36,Alpine and subalpine enriched grassland,100306
3,V37,Annual anthropogenic herbaceous vegetation,100307
3,V38,Dry perennial anthropogenic herbaceous vegetation,100308
3,V39,Mesic perennial anthropogenic herbaceous vegetation,100309
2,V4,Hedgerows ,100400
3,V41,Hedgerows of non-native species ,100401
3,V42,Highly-managed hedgerows of native species ,100402
3,V43,Species-rich hedgerows of native species ,100403
3,V44,Species-poor hedgerows of native species,100404
2,V5,Shrub plantations ,100500
3,V51,Shrub plantations for whole-plant harvesting,100501
3,V52,Shrub plantations for leaf or branch harvest,100502
3,V53,Shrub plantations for ornamental purposes or for fruit other than vineyards,100503
3,V54,Vineyards,100504
2,V6,Tree dominated man-made habitats,100600
3,V61,Broadleaved fruit and nut tree orchards,100601
3,V62,Evergreen orchards and groves,100602
3,V63,Lines of planted trees,100603
3,V64,Small deciduous broadleaved planted other wooded land ,100604
3,V65,Small evergreen broadleaved planted other wooded land ,100605
3,V66,Small coniferous planted other wooded land ,100606
1,C,Inland surface waters,110000
2,C1,Surface standing waters,110100
2,C2,Surface running waters,110200
1,J,Constructed industrial and other artificial habitats,120000
2,J1,Buildings of cities or towns and villages,120100
2,J2,Low density buildings,120200
2,J3,Extractive industrial sites,120300
2,J4,Transport networks and other constructed hard-surfaced areas,120400
2,J5,Highly artificial man-made waters and associated structures,120500
2,J6,Waste deposits,120600
