eunis_level,eunis_code,eunis_name,raster_value
3,MD25,Mediterranean offshore circalittoral biogenic habitat,12005
2,MD3,Offshore circalittoral coarse sediment,12100
3,MD31,Arctic offshore circalittoral coarse sediment,12101
3,MD32,Atlantic offshore circalittoral coarse sediment,12102
3,MD33,Baltic offshore circalittoral coarse sediment,12103
3,MD34,Black Sea offshore circalittoral coarse sediment,12104
3,MD35,Mediterranean offshore circalittoral coarse sediment,12105
2,MD4,Offshore circalittoral mixed sediment,12200
3,MD41,Arctic offshore circalittoral mixed sediment,12201
3,MD42,Atlantic offshore circalittoral mixed sediment,12202
3,MD43,Baltic offshore circalittoral mixed sediment,12203
3,MD44,Black Sea offshore circalittoral mixed sediment,12204
3,MD45,Mediterranean offshore circalittoral mixed sediment,12205
2,MD5,Offshore circalittoral sand,12300
3,MD51,Arctic offshore circalittoral sand,12301
3,MD52,Atlantic offshore circalittoral sand,12302
3,MD53,Baltic offshore circalittoral sand,12303
3,MD54,Black Sea offshore circalittoral sand,12304
3,MD55,Mediterranean offshore circalittoral sand,12305
2,MD6,Offshore circalittoral mud,12400
3,MD61,Arctic offshore circalittoral mud,12401
3,MD62,Atlantic offshore circalittoral mud,12402
3,MD63,Baltic offshore circalittoral mud,12403
3,MD64,Black Sea offshore circalittoral mud,12404
3,MD65,Mediterranean offshore circalittoral mud,12405
2,ME1,Upper bathyal rock,12500
3,ME11,Arctic upper bathyal rock,12501
3,ME12,Atlantic upper bathyal rock,12502
3,ME14,Black Sea upper bathyal rock,12503
3,ME15,Mediterranean upper bathyal rock,12504
2,ME2,Upper bathyal biogenic habitat,12600
3,ME21,Arctic upper bathyal biogenic habitat,12601
3,ME22,Atlantic upper bathyal biogenic habitat,12602
3,ME24,Black Sea upper bathyal biogenic habitat,12603
3,ME25,Mediterranean Upper bathyal biogenic habitat,12604
2,ME3,Upper bathyal coarse sediment,12700
3,ME31,Arctic upper bathyal coarse sediment,12701
3,ME32,Atlantic upper bathyal coarse sediment,12702
3,ME34,Black Sea upper bathyal coarse sediment,12703
3,ME35,Mediterranean upper bathyal coarse sediment,12704
2,ME4,Upper bathyal mixed sediment,12800
3,ME41,Arctic upper bathyal mixed sediment,12801
3,ME42,Atlantic upper bathyal mixed sediment,12802
3,ME44,Black Sea upper bathyal mixed sediment,12803
3,ME45,Mediterranean upper bathyal mixed sediment,12804
2,ME5,Upper Bathyal sand,12900
3,ME51,Arctic upper bathyal sand,12901
3,ME52,Atlantic upper bathyal sand,12902
3,ME54,Black Sea upper bathyal sand,12903
3,ME55,Mediterranean upper bathyal sand,12904
2,ME6,Upper Bathyal mud,13000
3,ME61,Arctic upper bathyal mud,13001
3,ME62,Atlantic upper bathyal mud,13002
3,ME64,Black Sea upper bathyal mud,13003
3,ME65,Mediterranean upper bathyal mud,13004
2,MF1,Lower bathyal rock,13100
3,MF11,Arctic lower bathyal rock,13101
3,MF12,Atlantic lower bathyal rock,13102
3,MF14,Black Sea lower bathyal rock,13103
3,MF15,Mediterranean lower bathyal rock,13104
2,MF2,Lower bathyal biogenic habitat,13200
3,MF21,Arctic lower bathyal biogenic habitat,13201
3,MF22,Atlantic lower bathyal biogenic habitat,13202
3,MF24,Black Sea lower bathyal biogenic habitat,13203
3,MF25,Mediterranean lower bathyal biogenic habitat,13204
2,MF3,Lower bathyal coarse sediment,13300
3,MF31,Arctic lower bathyal coarse sediment,13301
3,MF32,Atlantic lower bathyal coarse sediment,13302
3,MF34,Black Sea lower bathyal coarse sediment,13303
3,MF35,Mediterranean lower bathyal coarse sediment,13304
2,MF4,Lower bathyal mixed sediment,13400
3,MF41,Arctic lower bathyal mixed sediment,13401
3,MF42,Atlantic lower bathyal mixed sediment,13402
3,MF44,Black Sea lower bathyal mixed sediment,13403
3,MF45,Mediterranean lower bathyal mixed sediment,13404
2,MF5,Lower bathyal sand,13500
3,MF51,Arctic lower bathyal sand,13501
3,MF52,Atlantic lower bathyal sand,13502
3,MF54,Black Sea lower bathyal sand,13503
3,MF55,Mediterranean lower bathyal sand,13504
2,MF6,Lower bathyal mud,13600
3,MF61,Arctic lower bathyal mud,13601
3,MF62,Atlantic lower bathyal mud,13602
3,MF64,Black Sea lower bathyal mud,13603
3,MF65,Mediterranean lower bathyal mud,13604
2,MG1,Abyssal rock,13700
3,MG11,Arctic abyssal rock,13701
3,MG12,Atlantic abyssal rock,13702
3,MG14,Black Sea abyssal rock,13703
3,MG15,Mediterranean abyssal rock,13704
2,MG2,Abyssal biogenic habitat,13800
3,MG21,Arctic abyssal biogenic habitat,13801
3,MG22,Atlantic abyssal biogenic habitat,13802
3,MG24,Black Sea abyssal biogenic habitat,13803
3,MG25,Mediterranean abyssal biogenic habitat,13804
2,MG3,Abyssal coarse sediment,13900
3,MG31,Arctic abyssal coarse sediment,13901
3,MG32,Atlantic abyssal coarse sediment,13902
3,MG34,Black Sea abyssal coarse sediment,13903
3,MG35,Mediterranean abyssal coarse sediment,13904
2,MG4,Abyssal mixed sediment,14000
3,MG41,Arctic abyssal mixed sediment,14001
3,MG42,Atlantic abyssal mixed sediment,14002
3,MG44,Black Sea abyssal mixed sediment,14003
3,MG45,Mediterranean abyssal mixed sediment,14004
2,MG5,Abyssal sand,14100
3,MG51,Arctic abyssal sand,14101
3,MG52,Atlantic abyssal sand,14102
3,MG54,Black Sea abyssal sand,14103
3,MG55,Mediterranean abyssal sand,14104
2,MG6,Abyssal mud,14200
3,MG61,Arctic abyssal mud,14201
3,MG62,Atlantic abyssal mud,14202
3,MG64,Black Sea abyssal mud,14203
3,MG65,Mediterranean abyssal mud,14204
1,MH,Pelagic water column,20000
2,MH1,Neuston,20100
3,MH11,Arctic neuston,20101
3,MH12,Atlantic neuston,20102
3,MH13,Baltic neuston,20103
3,MH14,Black Sea neuston,20104
3,MH15,Mediterranean neuston,20105
2,MH2,Completely mixed water column with reduced salinity,20200
3,MH21,Arctic completely mixed water column with reduced salinity,20201
3,MH22,Atlantic completely mixed water column with reduced salinity,20202
3,MH23,Baltic completely mixed water column with reduced salinity,20203
3,MH24,Black Sea completely mixed water column with reduced salinity,20204
3,MH25,Mediterranean completely mixed water column with reduced salinity,20205
2,MH3,Completely mixed water column with full salinity,20300
