Observations	PlotObservationID
Drosera rotundifolia, Agrostis canina, Carex echinata, Carex nigra, Comarum palustre, Equisetum fluviatile, Menyanthes trifoliata, Potentilla erecta, Succisa pratensis, Calamagrostis arundinacea, Carex canescens, Carex flava, Carex rostrata, Eriophorum angustifolium, Lysimachia vulgaris, Lythrum salicaria, Parnassia palustris, Pedicularis palustris, Salix aurita	226240
Salix rosmarinifolia, Betula pubescens, Comarum palustre, Lythrum salicaria, Menyanthes trifoliata, Parnassia palustris, Salix aurita, Bidens campylotheca, Bidens tripartita, Carex canescens, Carex echinata, Carex leporina, Drosera rotundifolia, Equisetum fluviatile, Galium palustre, Lysimachia vulgaris, Ranunculus flammula, Salix alba	226246
Beckmannia eruciformis, Eleocharis palustris, Oenanthe fistulosa, Alisma plantago-aquatica, Carex distans, Carex vulpina, Galium palustre, Lysimachia nummularia, Mentha aquatica, Potentilla reptans, Rorippa austriaca, Rumex conglomeratus, Trifolium fragiferum, Iris pseudacorus	226475
Stipa calamagrostis, Aconitum toxicum, Arabis hirsuta, Asplenium ruta-muraria, Bromus erectus, Campanula rotundifolia, Chamaecytisus triflorus, Dianthus petraeus, Draba aizoides, Festuca panciciana, Galium firmum, Juniperus communis, Melica ciliata, Potentilla cinerea, Rhamnus alpina, Saxifraga paniculata, Scabiosa columbaria, Teucrium chamaedrys, Thymus praecox, Vincetoxicum hirundinaria, Aethionema saxatile, Asplenium trichomanes, Leontodon crispus, Polygala supina	226846
Calamagrostis varia, Asplenium viride, Bupleurum falcatum, Campanula rotundifolia, Carex kitaibeliana, Cystopteris fragilis, Digitalis grandiflora, Helianthemum nummularium, Hepatica nobilis, Juniperus communis, Lathyrus pratensis, Luzula sylvatica, Saxifraga paniculata, Scabiosa ochroleuca, Veronica montana, Veronica urticifolia, Vicia cracca, Genista sagittalis, Helleborus odorus, Heracleum, Ranunculus oreophilus, Salix caprea, Sorbus aria, Thymus praecox, Valeriana officinalis, Verbascum	226856
Armeria maritima, Asplenium trichomanes, Carex humilis, Edraianthus graminifolius, Festuca panciciana, Poa badensis, Ranunculus montanus, Thymus praecox	226863
Achillea ageratifolia, Aster, Carum graecum, Cerastium banaticum, Dianthus petraeus, Silene saxifraga, Allium flavum, Campanula rotundifolia, Edraianthus serbicus, Saxifraga brevifolia, Silene flavescens	226936
Pinus sylvestris, Cotinus coggygria, Pilosella officinarum, Pyrola chlorantha, Taraxacum campylodes, Thalictrum aquilegiifolium, Berberis vulgaris, Cephalanthera rubra, Clinopodium vulgare, Cynoglossum officinale, Eryngium campestre, Galium verum, Geum urbanum, Hieracium praealtum, Juniperus communis, Lactuca muralis, Ligustrum vulgare, Pilosella echioides, Teucrium chamaedrys, Viola suavis	226965
Helianthemum oelandicum, Bromus erectus, Edraianthus graminifolius, Euphrasia minima, Festuca ovina, Saxifraga porophylla, Antennaria dioica, Anthyllis montana, Aster alpinus, Carex humilis, Carex montana, Linum catharticum, Minuartia verna, Pedicularis comosa, Scabiosa micrantha, Sesleria latifolia, Thymus praecox	226981
Eleocharis palustris, Lathyrus pannonicus, Molinia caerulea, Carex distans, Colchicum autumnale, Deschampsia cespitosa, Potentilla erecta, Ranunculus acris, Rhinanthus minor, Trifolium patens, Achillea millefolium, Briza media, Carex depauperata, Carex pilulifera, Cynosurus cristatus, Equisetum palustre, Eriophorum latifolium, Euphrasia rostkoviana, Festuca pratensis, Filipendula vulgaris, Gentiana pneumonanthe, Holcus lanatus, Leucanthemum vulgare, Linum catharticum, Lotus pedunculatus, Oenanthe fistulosa, Ophioglossum vulgatum, Plantago lanceolata, Polygala comosa, Prunella vulgaris, Ranunculus montanus, Ranunculus serpens, Serratula tinctoria, Stachys officinalis, Trifolium hybridum, Trifolium montanum, Trifolium repens	227071
